Type,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,codeSet,code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn
surgical,1073854200,DISSECTION OF DEEP JUGULAR LYMPH NODE,216,,,38542,1,APPROVED,EQUAL,Sharon Nirenberg,1.62731E+12,2108471,"Dissection, deep jugular node(s)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1072283000,EXPLORATION OF SPINAL FUSION,426,,,22830,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.6274E+12,2103540,Exploration of spinal fusion,Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1071177200,COMPLICATED EXCISION OF PILONIDAL SINUS,356,,,11772,1,APPROVED,EQUAL,Sharon Nirenberg,1.62731E+12,2102099,Excision of pilonidal cyst or sinus; complicated,Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,21,LUMBAR OR SCARAL (CAUDAL) EPIDURAL STEROID INJECTION,810,,,,0.66,APPROVED,INEXACT,Sharon Nirenberg,1.62731E+12,4081702,Lumbar epidural steroid injection,Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,21,LUMBAR OR SCARAL (CAUDAL) EPIDURAL STEROID INJECTION,810,,,,0.66,APPROVED,INEXACT,Sharon Nirenberg,1.62731E+12,4081703,Sacral epidural steroid injection,Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1074233500,SUBMANDIBULAR SIALOLITHOTOMY BY INTRAORAL APPROACH,239,,,42335,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2108760,"Sialolithotomy; submandibular (submaxillary), complicated, intraoral",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1073690100,"INTRO.OF NEEDLE/CATH.DIALYSIS CIRCUIT,W/DX.ANGIOGRAPHY W/ALL NECESSARY IMAGING",548,,,36901,0.32,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,42628575,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis ",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1073164100,RIGID BRONCHOSCOPY WITH RELIEF OF STENOSIS USING FLUOROSCOPIC GUIDANCE,340,,,31641,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2106609,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with destruction of tumor or relief of stenosis by any method other than excision (eg, laser therapy, cryotherapy)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1072744600,ARTHROPLASTY OF MEDIAL FEMORAL CONDYLE AND TIBIAL PLATEAU,320,,,27446,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2105102,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1073872400,EXCISION OF CERVICAL LYMPH NODE WITH MODIFIED RADICAL DISSECTION OF NECK,1262,,,38724,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2108482,Cervical lymphadenectomy (modified radical neck dissection),Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074956800,IMPLANTATION OF PROSTHESIS FOR REPAIR OF OPEN VENTRAL HERNIA,671,,,49568,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109503,Implantation of mesh or other prosthesis for open incisional or ventral hernia repair or mesh for closure of debridement for necrotizing soft tissue infection (List separately in addition to code for the incisional or ventral hernia repair),Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1076227200,THERAPEUTIC SPINAL PUNCTURE WITH DRAINAGE OF CEREBROSPINAL FLUID USING NEEDLE,333,,,62272,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2110610,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074713500,PARTIAL ORTHOTOPIC LIVER ALLOTRANSPLANTATION FROM LIVING DONOR,485,,,47135,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109321,"Liver allotransplantation, orthotopic, partial or whole, from cadaver or living donor, any age",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074421300,SURGICAL LAPAROSCOPY WITH MOBILIZATION OF SPLENIC FLEXURE AND PARTIAL COLECTOMY,311,,,44213,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109074,"Laparoscopy, surgical, mobilization (take-down) of splenic flexure performed in conjunction with partial colectomy (List separately in addition to primary procedure)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1071573800,FORMATION OF MYCOCUTANEOUS FLAP GRAFT OF LOWER EXTREMITY,216,,,15738,0.9,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2102414,"Muscle, myocutaneous, or fasciocutaneous flap; lower extremity",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1071527100,"APPLICATION OF SKIN SUBSTITUTE GRAFT, FIRST 25 SQ CM OF 100 SQ CM OR GREATER TOTAL WOUND SURFACE AREA",389,,,15271,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,42742484,"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1071932500,BREAST AUGMENTATION WITH IMPLANT,547,,,19325,0.78,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2102740,"Mammaplasty, augmentation; with prosthetic implant",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1075932000,"CERCLAGE OF CERVIX, DURING PREGNANCY BY VAGINAL APPROACH",353,,,59320,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2110304,"Cerclage of cervix, during pregnancy; vaginal",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1072775900,OPEN REDUCTION OF FRACTURE OF SHAFT OF TIBIA WITH FIXATION USING INTRAMEDULLARY IMPLANT WITH INTERLOCKING SCREWS AND CERCLAGE,192,,,27759,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2105370,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,43,"RADIOLOGICAL EXAMINATION,SURGICAL SPECIMEN",320,,,,0.76,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2211701,"Radiological examination, surgical specimen",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074920300,OPEN EXCISION OF PRIMARY RETROPERITONEAL TUMOR,238,,,49203,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109444,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1075235100,DIAGNOSTIC CYSTOURETHROSCOPY WITH URETEROSCOPY AND PYELOSCOPY,330,,,52351,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109815,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1075007500,INCISION OF KIDNEY AND REMOVAL OF STAGHORN CALCULUS FILLING RENAL PELVIS AND CALYCES,425,,,50075,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109556,Nephrolithotomy; removal of large staghorn calculus filling renal pelvis and calyces (including anatrophic pyelolithotomy),Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074282600,SECONDARY TONSILLECTOMY,350,,,42826,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2108818,"Tonsillectomy, primary or secondary; age 12 or over",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1073123700,SURGICAL ENDOSCOPY OF SINUS WITH POLYPECTOMY,670,,,31237,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2106402,"Nasal/sinus endoscopy, surgical; with biopsy, polypectomy or debridement (separate procedure)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1076303500,"HEMILAMINECTOMY, PARTIAL FACETECTOMY, AND FORAMINOTOMY OF LUMBAR SPINE WITH EXCISION OF HERNIATED INTERVERTEBRAL DISC AND DECOMPRESSION OF NERVE ROOT",284,,,63035,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2110645,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; each additional interspace, cervical or lumbar (List separately in addition to code for primar",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1074604000,INCISION AND DRAINAGE OF PERIRECTAL ABSCESS,482,,,46040,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109232,Incision and drainage of ischiorectal and/or perirectal abscess (separate procedure),Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1072343000,TENODESIS OF LONG HEAD OF BICEPS MUSCLE,380,,,23430,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2103697,Tenodesis of long tendon of biceps,Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1071934200,INSERTION OR REPLACEMENT OF BREAST IMPLANT ON SEPARATE DAY FROM MASTECTOMY,797,,,19342,0.52,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2102754,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,1074956100,REPAIR OF STRANGULATED VENTRAL HERNIA,216,,,49561,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109500,Repair initial incisional or ventral hernia; incarcerated or strangulated,Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1076160000,RESECTION OF EXTRADURAL VASCULAR LESION OF BASE OF ANTERIOR CRANIAL FOSSA,338,,,61600,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2110501,"Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; extradural",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1073266600,SURGICAL THORACOSCOPY WITH THERAPEUTIC WEDGE RESECTION,545,,,32666,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,42742513,"Thoracoscopy, surgical; with therapeutic wedge resection (eg, mass, nodule), initial unilateral",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074510000,BIOPSY OF ANORECTAL WALL BY ANAL APPROACH,327,,,45100,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109149,"Biopsy of anorectal wall, anal approach (eg, congenital megacolon)",Procedure,MAPS_TO,,Sharon Nirenberg,1.62731E+12
surgical,43,"RADIOLOGICAL EXAMINATION,SURGICAL SPECIMEN",320,,,,0.76,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2211701,"Radiological examination, surgical specimen",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1075180000,VESICAL FUNDUS RESECTION WITH WEDGE RESECTION OF POSTERIOR VESICAL NECK,190,,,51800,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109748,"Cystoplasty or cystourethroplasty, plastic operation on bladder and/or vesical neck (anterior Y-plasty, vesical fundus resection), any procedure, with or without wedge resection of posterior vesical neck",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1072712500,PARTIAL HEMIARTHROPLASTY OF HIP WITH FEMORAL STEM PROSTHESIS,348,,,27125,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2104835,"Hemiarthroplasty, hip, partial (eg, femoral stem prosthesis, bipolar arthroplasty)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074958500,REPAIR OF REDUCIBLE UMBILICAL HERNIA,771,,,49585,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109508,"Repair umbilical hernia, age 5 years or older; reducible",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1074250000,PRIMARY PLASTIC REPAIR OF SALIVARY DUCT,216,,,42500,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2108777,"Plastic repair of salivary duct, sialodochoplasty; primary or simple",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1075223500,"CYSTOURETHROSCOPY WITH RESECTION OF BLADDER TUMOR, 2.0 TO 5.0 CM",663,,,52235,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2109775,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)",Procedure,MAPS_TO,,<auto>,1.62731E+12
surgical,1072748700,REVISION OF FEMORAL AND ENTIRE TIBIAL COMPONENTS OF TOTAL ARTHROPLASTY OF KNEE WITHOUT ALLOGRAFT,311,,,27487,1,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62731E+12,2105129,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component",Procedure,MAPS_TO,,<auto>,1.62731E+12
